disease,scheme,year,std_UCF,CI_lo,CI_hi,variance,effective_weight_sum,supported_cells
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2005,0.22071156911887505,0.21857786551787858,0.2228452727198715,1.1851028365538497e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2006,0.22176464139674942,0.21963093669249362,0.22389834610100523,1.185104062099985e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2007,0.22573436100335104,0.22359115027409485,0.22787757173260723,1.1956872735315605e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2008,0.2228931044835903,0.22080769782396273,0.22497851114321785,1.132059802170718e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2009,0.2246932852906201,0.22259456770526345,0.22679200287597676,1.1465575549472333e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2010,0.21616033209785213,0.2141061650482195,0.21821449914748475,1.0983970917837251e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2011,0.21483747226872046,0.21282161246839215,0.21685333206904878,1.0578120404466158e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2012,0.21557896839686946,0.21356667200045762,0.2175912647932813,1.054075590121846e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2013,0.21836097908662055,0.2163940061807111,0.22032795199253,1.0071278666654023e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2014,0.21243979037975882,0.21054215590027092,0.21433742485924673,9.373741716319515e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2015,0.2073681698315312,0.2055519872617872,0.2091843524012752,8.586315927326853e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2016,0.20390741286050595,0.20211753728693158,0.20569728843408033,8.339375699912171e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2017,0.19995889789434618,0.1982098578284413,0.20170793796025105,7.963195418941462e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2018,0.1968310472969267,0.19510402807510432,0.19855806651874905,7.763940526197192e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2019,0.19032383996638585,0.1886004805575581,0.1920471993752136,7.731069481453548e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2020,0.16528127138345608,0.1637969071228546,0.16676563564405755,5.735467664907657e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2021,0.15948600317394207,0.15806624780193296,0.16090575854595118,5.247046325355925e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2022,0.17325262368965394,0.17174407504195172,0.17476117233735616,5.9238833363291e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2023,0.18426069768977907,0.1826538782917614,0.18586751708779672,6.720815748245174e-07,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2024,0.18048916101074022,0.17887855983914674,0.1820997621823337,6.75248889509129e-07,1.0,14
