year,destination,ucd,raw_n,gap_denominator,raw_probability
2003,OTHER,M199,2,1162,0.0017211703958691911
2003,OTHER,M316,1,1162,0.0008605851979345956
2003,OTHER,M321,1,1162,0.0008605851979345956
2003,OTHER,M628,1,1162,0.0008605851979345956
2003,OTHER,M869,1,1162,0.0008605851979345956
2003,OTHER,N058,1,1162,0.0008605851979345956
2003,OTHER,N133,2,1162,0.0017211703958691911
2003,OTHER,N179,4,1162,0.0034423407917383822
2003,OTHER,N180,1,1162,0.0008605851979345956
2003,OTHER,N189,7,1162,0.006024096385542169
2003,OTHER,N19,6,1162,0.0051635111876075735
2003,OTHER,N390,10,1162,0.008605851979345954
2003,OTHER,N40,1,1162,0.0008605851979345956
2003,OTHER,Q245,2,1162,0.0017211703958691911
2003,OTHER,Q447,1,1162,0.0008605851979345956
2003,OTHER,Y848,2,1162,0.0017211703958691911
2003,OTHER,Y849,1,1162,0.0008605851979345956
2004,OTHER,D510,1,1062,0.0009416195856873823
2004,OTHER,D570,1,1062,0.0009416195856873823
2004,OTHER,D571,1,1062,0.0009416195856873823
2004,OTHER,D589,1,1062,0.0009416195856873823
2004,OTHER,D599,1,1062,0.0009416195856873823
2004,OTHER,D619,2,1062,0.0018832391713747645
2004,OTHER,D649,2,1062,0.0018832391713747645
2004,OTHER,D899,1,1062,0.0009416195856873823
2004,OTHER,E039,1,1062,0.0009416195856873823
2004,OTHER,E049,1,1062,0.0009416195856873823
2004,OTHER,E059,1,1062,0.0009416195856873823
2004,OTHER,E662,1,1062,0.0009416195856873823
2004,OTHER,E668,3,1062,0.002824858757062147
2004,OTHER,E669,1,1062,0.0009416195856873823
2004,OTHER,E780,1,1062,0.0009416195856873823
2004,OTHER,E785,1,1062,0.0009416195856873823
2004,OTHER,E854,1,1062,0.0009416195856873823
2004,OTHER,E86,1,1062,0.0009416195856873823
2004,OTHER,E870,1,1062,0.0009416195856873823
2004,OTHER,E876,1,1062,0.0009416195856873823
2004,OTHER,E880,1,1062,0.0009416195856873823
2004,OTHER,F03,9,1062,0.00847457627118644
2004,OTHER,F069,3,1062,0.002824858757062147
2004,OTHER,F101,1,1062,0.0009416195856873823
2004,OTHER,F102,3,1062,0.002824858757062147
2004,OTHER,F109,1,1062,0.0009416195856873823
2004,OTHER,F322,1,1062,0.0009416195856873823
2004,OTHER,G061,1,1062,0.0009416195856873823
2004,OTHER,G122,2,1062,0.0018832391713747645
2004,OTHER,G20,4,1062,0.003766478342749529
2004,OTHER,G301,3,1062,0.002824858757062147
2004,OTHER,G309,28,1062,0.026365348399246705
2004,OTHER,G319,1,1062,0.0009416195856873823
2004,OTHER,G35,2,1062,0.0018832391713747645
2004,OTHER,G710,2,1062,0.0018832391713747645
2004,OTHER,G931,3,1062,0.002824858757062147
2004,OTHER,G934,2,1062,0.0018832391713747645
2004,OTHER,K20,1,1062,0.0009416195856873823
2004,OTHER,K219,1,1062,0.0009416195856873823
2004,OTHER,K226,1,1062,0.0009416195856873823
2004,OTHER,K296,1,1062,0.0009416195856873823
2004,OTHER,K316,1,1062,0.0009416195856873823
2004,OTHER,K318,2,1062,0.0018832391713747645
2004,OTHER,K319,1,1062,0.0009416195856873823
2004,OTHER,K509,2,1062,0.0018832391713747645
2004,OTHER,K550,4,1062,0.003766478342749529
2004,OTHER,K559,9,1062,0.00847457627118644
2004,OTHER,K562,1,1062,0.0009416195856873823
2004,OTHER,K563,15,1062,0.014124293785310734
2004,OTHER,K566,5,1062,0.004708097928436911
2004,OTHER,K572,2,1062,0.0018832391713747645
2004,OTHER,K573,2,1062,0.0018832391713747645
2004,OTHER,K579,1,1062,0.0009416195856873823
